model,group,group_key,n,compile_pass,compile_pass_rate,dynamic_change_pass,dynamic_change_pass_rate,numeric_change_pass,state_only_change_pass,compile_failed_in_dynamic,no_change
qwen3.8-flash,G1,json_ir_guarded,90,73,0.8111111111111111,64,0.7111111111111111,56,8,17,9
qwen3.8-flash,G2,json_ir_ungated,90,27,0.3,6,0.06666666666666667,6,0,63,21
qwen3.8-flash,G3,direct_xl_static_gate,90,24,0.26666666666666666,23,0.25555555555555554,23,0,66,1
qwen3.8-flash,G4,direct_xl_ungated,90,21,0.23333333333333334,10,0.1111111111111111,9,1,69,11
MiniMax-M2.5,G1,json_ir_guarded,90,42,0.4666666666666667,39,0.43333333333333335,34,5,48,3
MiniMax-M2.5,G2,json_ir_ungated,90,1,0.011111111111111112,0,0.0,0,0,89,1
MiniMax-M2.5,G3,direct_xl_static_gate,90,9,0.1,9,0.1,8,1,81,0
MiniMax-M2.5,G4,direct_xl_ungated,90,12,0.13333333333333333,2,0.022222222222222223,0,2,78,10
